SN,SubstanceCategory,Substance,NewSubstanceUsed,N,New Category,Subcategory,Active substance,Active substance category,Chemical/formulation,Commercial Product
61,Probiotic,Biocult,Biocult,3,Probiotic,,Carbon,Mineral elements,Formulation,Yes
123,Immunostimulant,Gelatin,Gelatin,23,Nutritional Supplement,,Carotinoid,Vitamins,Formulation,Yes
30,Pesticides,Gastape (Trade name),Gastape (Trade name),1,Water quality treatment,,Cartap,Pesticide,Formulation,Yes
57,Probiotic,Bacten,Bacten,2,Probiotic,,Cellulase,Enzymes,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Cellulomonas cartae,Probiotic - bacteria,Formulation,Yes
19,Pesticides,Chlorantraniliprol,Coragen,7,Pesticide,Insecticide - piscicide,Chlorantraniliprol,Pesticide,Formulation,Yes
20,Pesticides,Chlorater (Trade name),Chlorater (Trade name),6,Pesticide,Herbicide,Chlorate,Pesticide,Formulation,Yes
153,Immunostimulant,Soda mix,Soda mix,148,Nutritional Supplement,,Chlorine,Disinfectants - Cl based,Formulation,Yes
21,Pesticides,Chlorpyrifos,Agricultural pesticide,15,Pesticide,Insecticide - organophosphate,Chlorpyrifos,Pesticide,Chemical,No
22,Antibiotics,Chlortetracycline,Cotra-Vet,2,Antibiotic,Tetracycline,Chlortetracycline,Antimicrobial,Formulation,Yes
123,Immunostimulant,Gelatin,Gelatin,23,Nutritional Supplement,,Cholesterol,Feed Supplement,Formulation,Yes
133,Immunostimulant,Nutri Gel,Nutri Gel,1,Nutritional Supplement,,Cholesterol,Feed Supplement,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Choline,Vitamins,Formulation,Yes
127,Immunostimulant,K-Max,K-Max,115,Nutritional Supplement,,Choride,Disinfectants - Cl based,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Chromium,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Chromium,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Chromium,Mineral elements,Formulation,Yes
59,Probiotic,Bio-fav Aqua,Bio-fav Aqua,1,Probiotic,,Clostridium butyricum,Probiotic - bacteria,Formulation,Yes
163,Probiotic,Zymetin,Zymetin,113,Probiotic,,Clostridium butyricum,Probiotic - bacteria,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Cobalamin,Vitamins,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Cobalt,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Cobalt,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Cobalt,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Cobalt,Mineral elements,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Cobalt sulphate,Feed Supplement,Formulation,Yes
134,"Immunostimulant, Antibiotic",Nutrigel,Nutrigel,1,Nutritional Supplement,,Cobalt sulphate,Feed Supplement,Formulation,Yes
58,Toxic gas reducer,Bio clean,Bio clean,25,Water quality treatment,,Cooked proteins,Feed Supplement,Formulation,Yes
64,Immunostimulant,Blue Mix,Blue Mix,3,Immunostimulant,,Copper,Mineral elements,Formulation,Yes
112,Immunostimulant,Chelamin,Chelamin,1,Nutritional Supplement,,Copper,Mineral elements,Formulation,Yes
117,Immunostimulant,DCP Plus,DCP Plus,1,Nutritional Supplement,,Copper,Mineral elements,Formulation,Yes
122,Immunostimulant,Exorich,Exorich,15,Nutritional Supplement,,Copper,Mineral elements,Formulation,Yes
154,Mineral elements,Soil Gold,Soil Gold,1,Sediment treatment,,Copper,Mineral elements,Formulation,Yes
62,Probiotic,Biomar,Biomax,2,Probiotic,,Copper sulphate,Pesticide,Formulation,Yes
120,Immunostimulant,Eon Fish Grower,Eon Fish Grower,3,Nutritional Supplement,,Copper sulphate,Pesticide,Formulation,Yes
23,Pesticides,Cyncyper (Trade name),Cyncyper (Trade name),10,Pesticide,Insecticide - pyrethroid,Cypermethrin,Pesticide,Formulation,Yes
23,Pesticides,Cypermethrin,Cyncyper (Trade name),10,Pesticide,Insecticide - pyrethroid,Cypermethrin,Pesticide,Formulation,Yes
